,county,item,quantity
0,East Lindsey,fine beans,5895726.0
1,East Lindsey,garlic,5885919.0
2,East Lindsey,corned beef,5848032.0
3,Falkirk,garlic,5779071.0
4,Falkirk,corned beef,5715513.0
5,Falkirk,fine beans,5668563.0
6,East Cambridgeshire,garlic,4318246.0
7,Greater London,fine beans,4290694.0
8,East Cambridgeshire,corned beef,4282482.0
9,East Cambridgeshire,fine beans,4266630.0
10,Orkney,fine beans,4254150.0
11,Greater London,corned beef,4244220.0
12,Warwickshire,fine beans,4221280.0
13,Orkney,garlic,4207188.0
14,Kent,fine beans,4207070.0
15,Warwickshire,corned beef,4197268.0
16,Orkney,corned beef,4190086.0
17,Greater London,garlic,4173992.0
18,Warwickshire,garlic,4171640.0
19,Kent,corned beef,4165354.0
20,Kent,garlic,4163284.0
21,North Yorkshire,corned beef,4107861.0
22,North Yorkshire,fine beans,4052019.0
23,North Yorkshire,garlic,4035480.0
24,Islington,fine beans,3814994.0
25,Islington,garlic,3787054.0
26,West Somerset,garlic,3786600.0
27,West Somerset,fine beans,3771794.0
28,Islington,corned beef,3768120.0
29,West Somerset,corned beef,3660610.0
30,Edinburgh City,corned beef,3441286.0
31,Neath Port Talbot,fine beans,3426912.0
32,Edinburgh City,fine beans,3425468.0
33,Neath Port Talbot,corned beef,3421366.0
34,Neath Port Talbot,garlic,3412924.0
35,Wrexham,garlic,3369964.0
36,Edinburgh City,garlic,3367802.0
37,Wrexham,fine beans,3364464.0
38,Wrexham,corned beef,3317204.0
39,East Lindsey,Red pepper,3039552.0
40,East Lindsey,fresh whole turkey,3009606.0
41,East Lindsey,Almond milk,2989908.0
42,East Lindsey,salmon fillets,2989794.0
43,East Lindsey,play station 3,2982957.0
44,East Lindsey,flapjack,2971881.0
45,East Lindsey,dell inspiron laptop,2968872.0
46,East Lindsey,linen trousers,2965899.0
47,East Lindsey,gaming keyboard,2964168.0
48,East Lindsey,Plain Greek yoghurt,2962794.0
49,East Lindsey,cod fillets,2960472.0
50,East Lindsey,fresh whole chicken,2958342.0
51,East Lindsey,british fresh chicken thigh fillets,2957262.0
52,East Lindsey,gaming mouse,2954454.0
53,Falkirk,large king prawns,2951235.0
54,East Lindsey,mature cheddar cheese,2950422.0
55,East Lindsey,almond croisant,2948496.0
56,East Lindsey,Spring onions bunch,2946525.0
57,East Lindsey,British baking potatoes loose,2945724.0
58,East Lindsey,Onions Loose,2945055.0
59,East Lindsey,baby potatoes,2942646.0
60,East Lindsey,dyson washing machine,2942511.0
61,East Lindsey,aubergine,2937003.0
62,East Lindsey,organic raspberry yoghurt,2936934.0
63,East Lindsey,olive oil spread,2935887.0
64,East Lindsey,Sweet potatoes loose,2935272.0
65,East Lindsey,British carrots loose,2933940.0
66,East Lindsey,apple macbook pro mid 2009,2933640.0
67,East Lindsey,millionaire square,2933178.0
68,Falkirk,Sweet potatoes loose,2932944.0
69,East Lindsey,brenton t-shirt,2932584.0
70,East Lindsey,pink blazers,2932011.0
71,East Lindsey,organic soured cream,2930292.0
72,East Lindsey,apple macbook air mid 2009,2929797.0
73,East Lindsey,celery,2928267.0
74,East Lindsey,Brocolli loose,2927988.0
