year,month,day,hour,branch,quantity
2011,1,2,8,east lindsey branch,59049.0
2011,1,3,14,east lindsey branch,20123.0
2011,1,4,1,east lindsey branch,66702.0
2011,1,5,0,east lindsey branch,76087.0
2011,1,6,19,east lindsey branch,29308.0
2011,1,7,10,east lindsey branch,42283.0
2011,1,7,23,east lindsey branch,61529.0
2011,1,9,5,east lindsey branch,15072.0
2011,1,11,20,east lindsey branch,36210.0
2011,1,13,4,east lindsey branch,34893.0
2011,1,15,7,east lindsey branch,56891.0
2011,1,17,9,east lindsey branch,35610.0
2011,1,18,6,east lindsey branch,30713.0
2011,1,18,15,east lindsey branch,65897.0
2011,1,18,17,east lindsey branch,40885.0
2011,1,18,18,east lindsey branch,47305.0
2011,1,19,11,east lindsey branch,40589.0
2011,1,19,16,east lindsey branch,81770.0
2011,1,21,12,east lindsey branch,2967.0
2011,1,23,13,east lindsey branch,74886.0
2011,1,23,21,east lindsey branch,28266.0
2011,1,25,2,east lindsey branch,66947.0
2011,1,27,3,east lindsey branch,39302.0
2011,1,27,22,east lindsey branch,5008.0
2011,2,1,1,east lindsey branch,43899.0
2011,2,1,3,east lindsey branch,246.0
2011,2,3,2,east lindsey branch,54149.0
2011,2,3,7,east lindsey branch,61090.0
2011,2,3,13,east lindsey branch,65740.0
2011,2,4,9,east lindsey branch,75046.0
2011,2,5,20,east lindsey branch,53651.0
2011,2,6,21,east lindsey branch,66061.0
2011,2,8,8,east lindsey branch,48602.0
2011,2,9,18,east lindsey branch,15316.0
2011,2,10,10,east lindsey branch,59658.0
2011,2,14,22,east lindsey branch,74724.0
2011,2,17,15,east lindsey branch,41386.0
2011,2,17,23,east lindsey branch,58142.0
2011,2,18,0,east lindsey branch,10280.0
2011,2,20,5,east lindsey branch,46857.0
2011,2,22,11,east lindsey branch,77594.0
2011,2,23,16,east lindsey branch,51080.0
2011,2,26,4,east lindsey branch,42418.0
2011,2,26,19,east lindsey branch,26726.0
2011,2,27,6,east lindsey branch,33195.0
2011,2,27,14,east lindsey branch,52456.0
2011,2,27,17,east lindsey branch,18060.0
2011,2,28,12,east lindsey branch,70509.0
2011,3,1,19,east lindsey branch,71006.0
2011,3,2,0,east lindsey branch,55928.0
2011,3,3,2,east lindsey branch,21208.0
2011,3,4,14,east lindsey branch,20491.0
2011,3,6,6,east lindsey branch,60225.0
2011,3,8,3,east lindsey branch,12428.0
2011,3,8,23,east lindsey branch,49566.0
2011,3,10,20,east lindsey branch,18309.0
2011,3,11,5,east lindsey branch,18406.0
2011,3,12,8,east lindsey branch,21916.0
2011,3,14,15,east lindsey branch,46592.0
2011,3,14,21,east lindsey branch,76637.0
2011,3,14,22,east lindsey branch,36697.0
2011,3,15,7,east lindsey branch,26001.0
2011,3,16,10,east lindsey branch,10190.0
2011,3,16,16,east lindsey branch,18111.0
2011,3,16,17,east lindsey branch,57675.0
2011,3,17,11,east lindsey branch,56049.0
2011,3,22,1,east lindsey branch,31337.0
2011,3,22,4,east lindsey branch,62164.0
2011,3,22,18,east lindsey branch,30490.0
2011,3,25,9,east lindsey branch,38807.0
2011,3,25,13,east lindsey branch,1575.0
2011,3,28,12,east lindsey branch,33482.0
2011,4,1,7,east lindsey branch,37644.0
2011,4,2,21,east lindsey branch,5545.0
2011,4,4,8,east lindsey branch,51300.0
2011,4,6,0,east lindsey branch,10092.0
2011,4,8,2,east lindsey branch,34485.0
2011,4,15,11,east lindsey branch,69225.0
2011,4,15,15,east lindsey branch,18534.0
2011,4,15,17,east lindsey branch,15817.0
2011,4,17,12,east lindsey branch,78081.0
2011,4,18,3,east lindsey branch,27499.0
2011,4,18,6,east lindsey branch,62607.0
2011,4,19,4,east lindsey branch,53934.0
2011,4,20,9,east lindsey branch,38180.0
2011,4,20,14,east lindsey branch,42450.0
2011,4,21,16,east lindsey branch,67391.0
2011,4,22,10,east lindsey branch,80571.0
2011,4,22,13,east lindsey branch,1721.0
2011,4,22,18,east lindsey branch,26847.0
2011,4,24,19,east lindsey branch,31616.0
2011,4,25,20,east lindsey branch,52300.0
2011,4,26,5,east lindsey branch,55165.0
2011,4,26,23,east lindsey branch,27845.0
2011,4,28,1,east lindsey branch,62166.0
2011,4,28,22,east lindsey branch,30004.0
2011,5,1,19,east lindsey branch,7309.0
2011,5,2,2,east lindsey branch,19783.0
2011,5,3,16,east lindsey branch,56884.0
2011,5,4,21,east lindsey branch,41075.0
2011,5,5,10,east lindsey branch,56261.0
2011,5,6,3,east lindsey branch,28344.0
2011,5,6,5,east lindsey branch,28482.0
2011,5,8,6,east lindsey branch,43556.0
2011,5,9,1,east lindsey branch,15988.0
2011,5,10,9,east lindsey branch,33806.0
2011,5,10,17,east lindsey branch,81629.0
2011,5,10,20,east lindsey branch,48762.0
2011,5,12,4,east lindsey branch,64354.0
2011,5,12,12,east lindsey branch,38369.0
2011,5,16,14,east lindsey branch,74492.0
2011,5,17,23,east lindsey branch,18246.0
